Date,number_of_tweets,avg_vader_sentiment_score
2012-03-13,11,0.08122727272727273
2012-03-14,8,0.1227625
2012-03-15,6,-0.19458333333333333
2012-03-16,12,0.0715
2012-03-17,1,0.3182
2012-03-19,7,-0.11791428571428572
2012-03-20,9,0.43968888888888885
2012-03-21,8,0.002799999999999997
2012-03-22,3,0.16966666666666666
2012-03-23,9,0.031666666666666676
2012-03-26,8,0.09093749999999999
2012-03-28,14,-0.07360000000000001
2012-03-29,13,-0.053799999999999994
2012-03-30,16,-0.0543625
2012-04-02,7,0.4002428571428572
2012-04-03,9,0.2065888888888889
2012-04-04,8,0.01782500000000001
2012-04-05,9,0.11664444444444445
2012-04-06,14,0.3209642857142857
2012-04-09,7,0.08677142857142857
2012-04-10,4,0.397675
2012-04-11,8,-0.0015875000000000056
2012-04-12,7,0.03054285714285715
2012-04-13,11,-0.09564545454545453
2012-04-14,3,0.4218
2012-04-16,8,0.23769999999999997
2012-04-17,6,0.42288333333333333
2012-04-18,6,0.07836666666666668
2012-04-19,14,0.22543571428571427
2012-04-20,3,-0.03673333333333332
2012-04-22,1,0.0
2012-04-23,13,0.17434615384615382
2012-04-24,8,0.4060625
2012-04-25,2,-0.20095
2012-04-26,8,-0.10648750000000001
2012-04-27,8,0.126025
2012-04-30,10,0.06833
2012-05-01,8,-0.06950000000000002
2012-05-02,10,0.05772999999999999
2012-05-03,6,0.39516666666666667
2012-05-04,10,-0.051460000000000006
2012-05-07,36,0.20266944444444446
2012-05-08,7,0.5757714285714286
2012-05-09,8,-0.14321250000000002
2012-05-10,7,0.0666
2012-05-11,11,0.005672727272727263
2012-05-14,8,0.4080125
2012-05-15,12,0.1313
2012-05-16,6,0.017566666666666675
2012-05-17,6,-0.06496666666666667
2012-05-18,6,-0.061449999999999984
2012-05-20,1,0.5859
2012-05-21,4,0.27790000000000004
2012-05-22,16,0.016299999999999995
2012-05-23,10,-0.05008
2012-05-24,11,0.35715454545454545
2012-05-27,1,-0.4019
2012-05-29,8,0.15383750000000002
2012-05-30,21,0.09193809523809524
2012-05-31,11,-0.1064090909090909
2012-06-01,17,-0.07209999999999998
2012-06-02,1,0.0
2012-06-03,2,0.2553
2012-06-04,11,0.1475
2012-06-05,9,-0.051433333333333324
2012-06-06,9,0.18231111111111112
2012-06-07,8,0.1626
2012-06-08,4,-0.20737499999999998
2012-06-09,6,0.2347
2012-06-11,7,-0.12314285714285715
2012-06-12,15,0.09304666666666668
2012-06-13,11,0.13974545454545456
2012-06-14,8,0.242925
2012-06-15,7,0.3687571428571429
2012-06-18,3,0.5739666666666667
2012-06-19,6,0.020699999999999996
2012-06-20,8,0.1131125
