Date,number_of_tweets,avg_vader_sentiment,avg_finbert_sentiment
2011-06-06,1,0.2732,0.0
2011-06-07,1,0.0,0.0
2011-06-09,1,0.4754,0.0
2011-06-14,2,0.17,0.0
2011-06-16,1,0.8364,0.0
2011-06-20,1,0.4019,0.0
2011-06-21,2,0.42369999999999997,0.9026065468788147
2011-06-23,1,0.3612,0.9999663829803467
2011-06-24,1,0.0,0.0
2011-06-27,2,0.39744999999999997,0.0
2011-07-01,2,0.63295,0.4999958276748657
2011-07-05,2,0.42595,0.4999982714653015
2011-07-06,1,-0.7003,0.0
2011-07-07,3,0.19169999999999998,0.33333253860473633
2011-07-08,4,-0.747825,-0.7427398413419724
2011-07-11,2,0.0,0.0
2011-07-12,3,0.008599999999999997,0.33323049545288086
2011-07-13,1,-0.3612,0.0
2011-07-14,8,-0.02163749999999999,-0.043411172926425934
2011-07-15,3,0.12583333333333332,0.0
2011-07-18,5,0.20418000000000003,-0.19934719800949097
2011-07-19,3,-0.2612333333333334,-0.3283237814903259
2011-07-20,3,-0.02413333333333334,0.3333333333333333
2011-07-21,1,-0.6249,-0.7440081834793091
2011-07-22,2,-0.29295,-0.4999145269393921
2011-07-25,5,-0.10329999999999999,-0.00014113187789916993
2011-07-26,5,-0.23176000000000002,-0.19998579025268554
2011-07-27,5,-0.32636000000000004,-0.19636435508728028
2011-07-28,6,-0.09305000000000002,0.0005970398585001627
2011-07-29,7,0.14178571428571426,0.13266410997935704
2011-07-30,2,-0.3301,0.0
2011-08-01,3,0.07603333333333333,0.2825145721435547
2011-08-02,6,-0.29123333333333334,-0.25243650873502094
2011-08-03,7,0.025628571428571438,0.142767710345132
2011-08-04,4,-0.0903,-0.24469032883644104
2011-08-05,3,-0.2114666666666667,-0.6656578779220581
2011-08-08,2,0.1909,-0.49817585945129395
2011-08-09,4,-0.168025,-0.24971015751361847
2011-08-10,4,0.0291,0.003336191177368164
2011-08-11,4,0.0,0.0
2011-08-12,2,0.36005,0.0
2011-08-13,3,0.28030000000000005,0.13022945324579874
2011-08-15,7,-0.0018428571428571303,-0.28546696049826487
